,section,gender,ageGroup,educationLvl,economicSituation,nationality,residence,leg_count,leg_0_activity,leg_0_distance,leg_0_mode,leg_0_departure,leg_0_arrival,leg_0_x,leg_0_y,leg_1_activity,leg_1_distance,leg_1_mode,leg_1_departure,leg_1_arrival,leg_1_x,leg_1_y,leg_2_activity,leg_2_distance,leg_2_mode,leg_2_departure,leg_2_arrival,leg_2_x,leg_2_y,leg_3_activity,leg_3_distance,leg_3_mode,leg_3_departure,leg_3_arrival,leg_3_x,leg_3_y,leg_4_activity,leg_4_distance,leg_4_mode,leg_4_departure,leg_4_arrival,leg_4_x,leg_4_y,leg_5_activity,leg_5_distance,leg_5_mode,leg_5_departure,leg_5_arrival,leg_5_x,leg_5_y,leg_6_activity,leg_6_distance,leg_6_mode,leg_6_departure,leg_6_arrival,leg_6_x,leg_6_y,leg_7_activity,leg_7_distance,leg_7_mode,leg_7_departure,leg_7_arrival,leg_7_x,leg_7_y,leg_8_activity,leg_8_distance,leg_8_mode,leg_8_departure,leg_8_arrival,leg_8_x,leg_8_y,leg_9_activity,leg_9_distance,leg_9_mode,leg_9_departure,leg_9_arrival,leg_9_x,leg_9_y,leg_10_activity,leg_10_distance,leg_10_mode,leg_10_departure,leg_10_arrival,leg_10_x,leg_10_y,leg_11_activity,leg_11_distance,leg_11_mode,leg_11_departure,leg_11_arrival,leg_11_x,leg_11_y,leg_12_activity,leg_12_distance,leg_12_mode,leg_12_departure,leg_12_arrival,leg_12_x,leg_12_y,leg_13_activity,leg_13_distance,leg_13_mode,leg_13_departure,leg_13_arrival,leg_13_x,leg_13_y,leg_14_activity,leg_14_distance,leg_14_mode,leg_14_departure,leg_14_arrival,leg_14_x,leg_14_y,leg_15_activity,leg_15_distance,leg_15_mode,leg_15_departure,leg_15_arrival,leg_15_x,leg_15_y,leg_16_activity,leg_16_distance,leg_16_mode,leg_16_departure,leg_16_arrival,leg_16_x,leg_16_y
0,131632001,Male,10-14,2 Basic,Students,Portuguese,Live in Portugal,4,school,13704.0,car,07:45:00,08:00:00,-28888.51925182598,186411.5549105489,school,2915.78,car,17:40:00,17:50:00,-40614.424814348306,173784.94688748152,school,2915.78,car,17:50:00,18:00:00,-40044.887660390064,176736.02727887078,home,13935.0,car,19:30:00,19:45:00,-42786.461353340375,184134.1712909411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010932003,Female,55-59,1 Basic,Inactive,Portuguese,Live abroad,4,work,7005.0,car,08:45:00,09:00:00,-31588.73987304108,136692.9830022689,home,8151.0,car,13:00:00,13:15:00,-30981.952740596444,144066.36690269908,work,7005.0,car,13:45:00,14:00:00,-28085.34416721331,151506.68077867746,home,8151.0,car,18:00:00,18:20:00,-30981.952740596444,144066.36690269908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,131709001,Male,40-44,1 Basic,Reformed,Portuguese,Live abroad,2,workout,11112.0,car,14:00:00,14:20:00,-37443.50395638113,168620.58240430048,home,11674.0,car,19:00:00,19:20:00,-42676.71775571194,158933.0878793992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,011902001,Male,40-44,No education,Inactive,Portuguese,Live in Portugal,5,eat_out,2412.0,car,11:00:00,11:03:00,-23858.226675456877,132941.1862350947,groceries,22222.0,car,11:30:00,12:15:00,-33905.178338830236,144991.33763106176,eat_out,17671.0,car,13:30:00,13:50:00,-42963.275309150325,128680.24590948389,groceries,5826.0,car,15:00:00,15:10:00,-33905.178338830236,144991.33763106176,home,20501.0,car,17:10:00,17:40:00,-21769.29506396176,130304.32980173477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,131314002,Female,55-59,2 Basic,Students,Portuguese,Live in Portugal,2,work,9654.0,car,08:45:00,09:05:00,-49811.067631803984,187142.18862612525,home,9795.0,car,18:00:00,18:20:00,-53593.39643005336,195347.9543392473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,131202019,Female,50-54,Highschool,Worker 3 sec,Portuguese,Live in Portugal,2,work,1072.0,car,08:00:00,08:05:00,-40103.99581423527,164811.22587024426,home,1119.0,car,17:00:00,17:05:00,-38679.78352592067,165798.0059489444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,131216006,Female,55-59,No education,Worker 2 sec,Portuguese,Live in Portugal,3,work,5423.0,car,07:30:00,07:43:00,-37814.96789747617,166492.58654550748,around_the_block,1372.0,car,16:35:00,17:08:00,-40175.06759717898,166694.31818005833,home,5937.0,car,17:45:00,17:58:00,-44709.94668663746,167417.9537275248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,131435001,Female,25-29,3 Basic,Students,Portuguese,Live in Portugal,2,work,16171.0,pt,08:40:00,09:00:00,-12120.511781687097,171451.34725129488,home,16688.0,pt,13:50:00,14:10:00,-25834.02143749897,180576.0429161077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,131723009,Female,20-24,Highschool,Worker 3 sec,Portuguese,Live abroad,2,home,5855.0,car,23:50:00,00:00:00,-38382.31664236317,158366.29030170717,visit_friend_family,7262.0,car,12:00:00,12:12:00,-32550.6832493689,155332.60638493262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,131405002,Male,60-64,3 Basic,Reformed,Portuguese,Live in Portugal,2,home,3975.28,car,06:30:00,06:50:00,-23271.511679919327,188002.3103662648,work,3975.28,car,14:50:00,15:10:00,-26681.585038870064,189561.2293154976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,130813002,Female,40-44,3 Basic,Worker 2 sec,Portuguese,Live in Portugal,2,work,22222.0,car,06:00:00,09:00:00,-37814.96789747617,166492.58654550748,home,22222.0,car,19:00:00,19:30:00,-49568.234886737846,176183.3270431359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,010907001,Female,40-44,2 Basic,Students,Portuguese,Live in Portugal,6,work,22222.0,car,09:30:00,10:20:00,-53357.738173569844,139791.20754358015,take_someone_somewhere,22222.0,car,11:00:00,11:30:00,-50151.331457119755,161693.52619273227,home,886.0,car,11:35:00,11:40:00,-33242.24185406441,147043.4410331593,groceries,7048.0,car,14:30:00,14:40:00,-33905.178338830236,144991.33763106176,take_someone_somewhere,8433.0,car,17:00:00,17:12:00,-28060.340941869723,140270.24700522007,home,886.0,car,17:30:00,17:35:00,-33242.24185406441,147043.4410331593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,010913007,Female,45-49,2 Basic,Inactive,Portuguese,Live in Portugal,3,work,10788.0,car,07:50:00,08:10:00,-25153.240018553108,150448.32657179242,take_someone_somewhere,8932.0,car,18:30:00,19:20:00,-34235.95493406247,155902.8612261162,home,6680.0,car,19:30:00,20:00:00,-34357.25989243966,147066.8491215221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,130812043,Male,75+,Undergradute+,Unemployed new,Portuguese,Live in Portugal,2,groceries,2809.0,pt,14:35:00,15:05:00,-46415.11891571538,171224.0956440385,home,2809.0,pt,17:50:00,18:20:00,-47912.292012417376,169003.64960954216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,130415011,Male,45-49,3 Basic,Students,Portuguese,Live in Portugal,2,around_the_block,1834.0,car,10:30:00,10:48:20,-35358.75223594789,166607.47774330346,home,1834.0,car,12:07:20,12:25:40,-35648.22996081436,164213.70601913056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,130813009,Female,50-54,3 Basic,Inactive,Portuguese,Live in Portugal,2,home,6349.0,car,19:32:00,19:46:00,-48156.045931540866,173145.8037341034,work,6349.0,car,23:46:00,00:00:00,-41903.85006007628,175008.93307247048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,130414003,Male,60-64,Highschool,Worker 3 sec,Portuguese,Live in Portugal,4,work,5365.0,car,08:00:00,08:53:39,-26190.747399782984,161789.14531107788,home,5345.0,car,12:30:00,13:23:27,-26956.291670530463,156824.55648689874,work,5365.0,car,13:30:00,14:23:39,-30905.238597992728,155326.42731828988,home,5345.0,car,20:00:00,20:53:27,-26956.291670530463,156824.55648689874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,131730004,Female,30-34,Highschool,Worker 2 sec,Portuguese,Live in Portugal,3,take_someone_somewhere,5432.0,car,08:00:00,08:10:00,-37353.050774613606,161056.01154889184,work,4816.0,car,08:10:00,08:25:00,-37814.96789747617,166492.58654550748,home,1097.0,car,18:15:00,18:20:00,-41736.833950386375,162147.00713975722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,130609001,Female,65-69,No education,Worker 3 sec,Portuguese,Live in Portugal,2,visit_friend_family,8561.0,car,16:00:00,16:05:00,-40113.08821415085,167757.7163188665,home,8512.0,car,17:00:00,17:05:00,-43841.16810715612,175631.1253208263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,131730026,Female,75+,Undergradute+,Students,Portuguese,Live in Portugal,4,personal_issues,19563.0,car,09:30:00,10:15:00,-45474.723479700406,180451.99550242824,home,19867.0,car,12:00:00,12:45:00,-41929.459647521646,162086.73525918595,other,3503.0,car,15:15:00,15:50:00,-45832.33774488618,161938.6118034132,home,3403.0,car,17:40:00,18:30:00,-41929.459647521646,162086.73525918595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,130619012,Female,60-64,1 Basic,Reformed,Portuguese,Live in Portugal,3,work,22222.0,car,08:10:00,09:00:00,-26581.761429296457,188994.27548876998,workout,22222.0,car,18:00:00,18:30:00,-48129.02730108843,194064.44660879433,home,18350.0,car,20:00:00,20:15:00,-40953.79981213627,173335.8215096929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,131503024,Female,30-34,3 Basic,Inactive,Portuguese,Live in Portugal,2,work,11112.0,pt,07:10:00,07:50:00,-36320.43715620527,160934.71505667703,home,11757.0,pt,17:10:00,17:50:00,-35613.894401321355,171729.11684413056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
