Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	19:07:43	19:07:43	19:07:43			19:07:43	19:07:43	19:07:43	19:07:43	19:07:43	19:07:43	19:07:43	19:07:46	19:07:46	19:07:46	19:07:46	19:07:46	19:07:46			19:07:47	19:07:47		00:00:00		00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:04
1	19:07:47	19:07:47	19:07:47	19:07:47	19:07:47	19:07:47	19:07:47	19:07:47	19:07:47	19:07:47	19:07:47	19:07:47	19:07:49	19:07:49	19:07:49	19:07:49	19:07:49	19:07:49			19:07:50	19:07:50		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
2	19:07:50	19:07:50	19:07:50	19:07:50	19:07:50	19:07:50			19:07:50	19:07:50	19:07:50	19:07:50	19:07:52	19:07:52	19:07:52	19:07:52	19:07:52	19:07:52			19:07:52	19:07:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
3	19:07:52	19:07:52	19:07:52	19:07:52	19:07:52	19:07:52			19:07:53	19:07:53	19:07:53	19:07:53	19:07:55	19:07:55	19:07:55	19:07:55	19:07:55	19:07:55			19:07:55	19:07:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	19:07:55	19:07:55	19:07:55	19:07:55	19:07:55	19:07:55			19:07:55	19:07:55	19:07:55	19:07:55	19:07:57	19:07:57	19:07:57	19:07:57	19:07:57	19:07:57			19:07:57	19:07:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	19:07:57	19:07:57	19:07:57	19:07:57	19:07:57	19:07:57			19:07:57	19:07:57	19:07:57	19:07:57	19:07:59	19:07:59	19:07:59	19:07:59	19:07:59	19:07:59			19:08:00	19:08:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	19:08:00	19:08:00	19:08:00	19:08:00	19:08:00	19:08:00			19:08:00	19:08:00	19:08:00	19:08:00	19:08:02	19:08:02	19:08:02	19:08:02	19:08:02	19:08:02			19:08:02	19:08:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	19:08:02	19:08:02	19:08:02	19:08:02	19:08:02	19:08:02			19:08:02	19:08:02	19:08:02	19:08:02	19:08:04	19:08:04	19:08:04	19:08:04	19:08:04	19:08:04			19:08:04	19:08:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	19:08:04	19:08:04	19:08:04	19:08:04	19:08:04	19:08:04			19:08:04	19:08:04	19:08:04	19:08:04	19:08:06	19:08:06	19:08:06	19:08:06	19:08:06	19:08:06			19:08:07	19:08:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	19:08:07	19:08:07	19:08:07	19:08:07	19:08:07	19:08:07			19:08:07	19:08:07	19:08:07	19:08:07	19:08:08	19:08:08	19:08:08	19:08:08	19:08:08	19:08:08			19:08:09	19:08:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	19:08:09	19:08:09	19:08:09	19:08:09	19:08:09	19:08:09			19:08:09	19:08:09	19:08:09	19:08:09	19:08:11	19:08:11	19:08:11	19:08:11	19:08:11	19:08:11	19:08:11	19:08:11	19:08:11	19:08:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
