freguesia,genero,ocupacao,destino,valor
Paranhos,H,Estudante,Na freguesia onde reside atualmente,1903
Paranhos,H,Estudante,"No mesmo município, noutra freguesia",1221
Paranhos,M,Empregada,"No mesmo município, noutra freguesia",3802
Paranhos,M,Empregada,Na freguesia onde reside atualmente,2224
Paranhos,M,Estudante,"No mesmo município, noutra freguesia",1289
Paranhos,M,Total,Na freguesia onde reside atualmente,3985
Paranhos,HM,Total,"No mesmo município, noutra freguesia",9362
Paranhos,H,Total,"No mesmo município, noutra freguesia",4271
Paranhos,H,Empregada,"No mesmo município, noutra freguesia",3050
Paranhos,M,Estudante,Na freguesia onde reside atualmente,1761
Paranhos,HM,Estudante,"No mesmo município, noutra freguesia",2510
Paranhos,HM,Empregada,Na freguesia onde reside atualmente,3708
Paranhos,HM,Empregada,"No mesmo município, noutra freguesia",6852
Paranhos,M,Total,"No mesmo município, noutra freguesia",5091
Paranhos,H,Empregada,Na freguesia onde reside atualmente,1484
Paranhos,H,Total,Na freguesia onde reside atualmente,3387
Paranhos,HM,Estudante,Na freguesia onde reside atualmente,3664
Paranhos,HM,Total,Na freguesia onde reside atualmente,7372
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",M,Total,"No mesmo município, noutra freguesia",3813
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",M,Estudante,Na freguesia onde reside atualmente,1110
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",HM,Empregada,Na freguesia onde reside atualmente,3953
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",HM,Estudante,Na freguesia onde reside atualmente,2132
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",HM,Total,Na freguesia onde reside atualmente,6085
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",H,Estudante,Na freguesia onde reside atualmente,1022
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",M,Empregada,Na freguesia onde reside atualmente,2216
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",M,Empregada,"No mesmo município, noutra freguesia",2723
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",HM,Empregada,"No mesmo município, noutra freguesia",4971
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",H,Total,"No mesmo município, noutra freguesia",3292
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",H,Total,Na freguesia onde reside atualmente,2759
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",HM,Total,"No mesmo município, noutra freguesia",7105
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",HM,Estudante,"No mesmo município, noutra freguesia",2134
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",H,Empregada,Na freguesia onde reside atualmente,1737
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",M,Estudante,"No mesmo município, noutra freguesia",1090
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",H,Empregada,"No mesmo município, noutra freguesia",2248
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",M,Total,Na freguesia onde reside atualmente,3326
